"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 20 23:46:41 GMT+07:00 2021","Sat Mar 20 23:46:44 GMT+07:00 2021","3507","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sat Mar 20 23:49:03 GMT+07:00 2021","Sat Mar 20 23:49:16 GMT+07:00 2021","13383","PycharmProjects.stepik_lessons.module_5","test_main_page","TestLoginFromMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 20 23:49:20 GMT+07:00 2021","Sat Mar 20 23:49:23 GMT+07:00 2021","2486","PycharmProjects.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Sat Mar 20 23:47:52 GMT+07:00 2021","Sat Mar 20 23:48:05 GMT+07:00 2021","13354","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Mar 20 23:46:48 GMT+07:00 2021","Sat Mar 20 23:46:52 GMT+07:00 2021","3582","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Mar 20 23:45:45 GMT+07:00 2021","Sat Mar 20 23:45:48 GMT+07:00 2021","3438","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sat Mar 20 23:47:06 GMT+07:00 2021","Sat Mar 20 23:47:19 GMT+07:00 2021","12972","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 20 23:45:53 GMT+07:00 2021","Sat Mar 20 23:45:57 GMT+07:00 2021","4118","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"skipped","Sat Mar 20 23:47:24 GMT+07:00 2021","Sat Mar 20 23:47:32 GMT+07:00 2021","8221","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sat Mar 20 23:48:32 GMT+07:00 2021","Sat Mar 20 23:48:43 GMT+07:00 2021","11213","PycharmProjects.stepik_lessons.module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"skipped","Sat Mar 20 23:46:56 GMT+07:00 2021","Sat Mar 20 23:47:02 GMT+07:00 2021","6502","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Mar 20 23:46:09 GMT+07:00 2021","Sat Mar 20 23:46:13 GMT+07:00 2021","4435","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Mar 20 23:45:36 GMT+07:00 2021","Sat Mar 20 23:45:41 GMT+07:00 2021","4880","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Mar 20 23:48:56 GMT+07:00 2021","Sat Mar 20 23:48:59 GMT+07:00 2021","2947","PycharmProjects.stepik_lessons.module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sat Mar 20 23:46:25 GMT+07:00 2021","Sat Mar 20 23:46:28 GMT+07:00 2021","3437","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sat Mar 20 23:47:37 GMT+07:00 2021","Sat Mar 20 23:47:41 GMT+07:00 2021","3996","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sat Mar 20 23:46:17 GMT+07:00 2021","Sat Mar 20 23:46:21 GMT+07:00 2021","3465","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sat Mar 20 23:46:01 GMT+07:00 2021","Sat Mar 20 23:46:05 GMT+07:00 2021","3601","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Sat Mar 20 23:48:17 GMT+07:00 2021","Sat Mar 20 23:48:20 GMT+07:00 2021","2739","PycharmProjects.stepik_lessons.module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Sat Mar 20 23:46:32 GMT+07:00 2021","Sat Mar 20 23:46:37 GMT+07:00 2021","4475","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sat Mar 20 23:47:45 GMT+07:00 2021","Sat Mar 20 23:47:48 GMT+07:00 2021","3005","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
